Date,Year,Peak Chart Position,Artist - Source Database,Artist - Modified,Title - Source Database,Title - Modified,Duration,Original Record Label & Catalog No.,Suggested Filename,Concatenate,Eliminate Hyphens,Substitute Google Comma Char.,Eliminate Ampersand Phrases,,,Eliminate Parentheticals,,Search Formula
01/20/90,1990,28,Whitesnake,Whitesnake,The Deeper The Love,The Deeper the Love,4:12,Geffen 7-19951,Whitesnake--The Deeper the Love (1990),%22Whitesnake%22+%22The Deeper the Love%22,%22Whitesnake%22+%22The Deeper the Love%22,%22Whitesnake%22+%22The Deeper the Love%22,,,%22Whitesnake%22+%22The Deeper the Love%22,,,https://www.google.com/search?q=%22Whitesnake%22+%22The Deeper the Love%22&ie=utf-8&oe=utf-8
01/20/90,1990,29,Kevin Paige,Kevin Paige,Anything I Want,Anything I Want,3:43,Chrysalis 23444,Kevin Paige--Anything I Want (1990),%22Kevin Paige%22+%22Anything I Want%22,%22Kevin Paige%22+%22Anything I Want%22,%22Kevin Paige%22+%22Anything I Want%22,,,%22Kevin Paige%22+%22Anything I Want%22,,,https://www.google.com/search?q=%22Kevin Paige%22+%22Anything I Want%22&ie=utf-8&oe=utf-8
01/20/90,1990,30,Belinda Carlisle,Belinda Carlisle,Summer Rain,Summer Rain,4:03,MCA 53783,Belinda Carlisle--Summer Rain (1990),%22Belinda Carlisle%22+%22Summer Rain%22,%22Belinda Carlisle%22+%22Summer Rain%22,%22Belinda Carlisle%22+%22Summer Rain%22,,,%22Belinda Carlisle%22+%22Summer Rain%22,,,https://www.google.com/search?q=%22Belinda Carlisle%22+%22Summer Rain%22&ie=utf-8&oe=utf-8
01/20/90,1990,47,Skyy,Skyy,Real Love,Real Love,3:52,Atlantic 7-88816,Skyy--Real Love (1990),%22Skyy%22+%22Real Love%22,%22Skyy%22+%22Real Love%22,%22Skyy%22+%22Real Love%22,,,%22Skyy%22+%22Real Love%22,,,https://www.google.com/search?q=%22Skyy%22+%22Real Love%22&ie=utf-8&oe=utf-8
01/20/90,1990,56,Alice Cooper,Alice Cooper,House Of Fire,House of Fire,3:42,Epic 73085,Alice Cooper--House of Fire (1990),%22Alice Cooper%22+%22House of Fire%22,%22Alice Cooper%22+%22House of Fire%22,%22Alice Cooper%22+%22House of Fire%22,,,%22Alice Cooper%22+%22House of Fire%22,,,https://www.google.com/search?q=%22Alice Cooper%22+%22House of Fire%22&ie=utf-8&oe=utf-8
01/27/90,1990,1,Taylor Dayne,Taylor Dayne,Love Will Lead You Back,Love Will Lead You Back,4:18,Arista 9938,Taylor Dayne--Love Will Lead You Back (1990),%22Taylor Dayne%22+%22Love Will Lead You Back%22,%22Taylor Dayne%22+%22Love Will Lead You Back%22,%22Taylor Dayne%22+%22Love Will Lead You Back%22,,,%22Taylor Dayne%22+%22Love Will Lead You Back%22,,,https://www.google.com/search?q=%22Taylor Dayne%22+%22Love Will Lead You Back%22&ie=utf-8&oe=utf-8
01/27/90,1990,7,Technotronic,Technotronic,Get Up! (Before The Night Is Over),Get Up (Before the Night Is Over),3:27,SBK 07315,Technotronic--Get Up (Before the Night Is Over) (1990),%22Technotronic%22+%22Get Up (Before the Night Is Over)%22,%22Technotronic%22+%22Get Up (Before the Night Is Over)%22,%22Technotronic%22+%22Get Up (Before the Night Is Over)%22,,,%22Technotronic%22+%22Get Up (Before the Night Is Over)%22,30,55,https://www.google.com/search?q=%22Technotronic%22+%22Get Up%22&ie=utf-8&oe=utf-8
01/27/90,1990,24,"U-Krew, The",U-Krew,If U Were Mine,If U Were Mine,4:01,Enigma 75051,U-Krew--If U Were Mine (1990),%22U-Krew%22+%22If U Were Mine%22,%22U-Krew%22+%22If U Were Mine%22,%22U-Krew%22+%22If U Were Mine%22,,,%22U-Krew%22+%22If U Were Mine%22,,,https://www.google.com/search?q=%22U-Krew%22+%22If U Were Mine%22&ie=utf-8&oe=utf-8
01/27/90,1990,36,Joan Jett,Joan Jett,Dirty Deeds,Dirty Deeds,3:14,Blackheart 73215,Joan Jett--Dirty Deeds (1990),%22Joan Jett%22+%22Dirty Deeds%22,%22Joan Jett%22+%22Dirty Deeds%22,%22Joan Jett%22+%22Dirty Deeds%22,,,%22Joan Jett%22+%22Dirty Deeds%22,,,https://www.google.com/search?q=%22Joan Jett%22+%22Dirty Deeds%22&ie=utf-8&oe=utf-8
01/27/90,1990,47,Enuff Z’Nuff,Enuff Z'Nuff,Fly High Michelle,Fly High Michelle,4:05,Atco 4-99135,Enuff Z'Nuff--Fly High Michelle (1990),%22Enuff Z'Nuff%22+%22Fly High Michelle%22,%22Enuff Z%27Nuff%22+%22Fly High Michelle%22,%22Enuff Z%27Nuff%22+%22Fly High Michelle%22,,,%22Enuff Z%27Nuff%22+%22Fly High Michelle%22,,,https://www.google.com/search?q=%22Enuff Z%27Nuff%22+%22Fly High Michelle%22&ie=utf-8&oe=utf-8
