Date,Year,Peak Chart Position,Artist - Source Database,Artist - Modified,Title - Source Database,Title - Modified,Duration,Original Record Label & Catalog No.,Suggested Filename,Concatenate,Eliminate Hyphens,Substitute Google Comma Char.,Eliminate Ampersand Phrases,,,Eliminate Parentheticals,,Search Formula
10/10/92,1992,36,Prince & The New Power Generation,Prince & The New Power Generation,My Name Is Prince,My Name Is Prince,4:00,Paisley Park 18707,Prince & The New Power Generation--My Name Is Prince (1992),%22Prince & The New Power Generation%22+%22My Name Is Prince%22,%22Prince & The New Power Generation%22+%22My Name Is Prince%22,%22Prince & The New Power Generation%22+%22My Name Is Prince%22,11,37,%22Prince%22+%22My Name Is Prince%22,,,https://www.google.com/search?q=%22Prince%22+%22My Name Is Prince%22&ie=utf-8&oe=utf-8
10/10/92,1992,60,Smart E’s,Smart E's,Sesame’s Treet,Sesame's Treet,3:31,Pyrotech 10083,Smart E's--Sesame's Treet (1992),%22Smart E's%22+%22Sesame's Treet%22,%22Smart E%27s%22+%22Sesame%27s Treet%22,%22Smart E%27s%22+%22Sesame%27s Treet%22,,,%22Smart E%27s%22+%22Sesame%27s Treet%22,,,https://www.google.com/search?q=%22Smart E%27s%22+%22Sesame%27s Treet%22&ie=utf-8&oe=utf-8
10/10/92,1992,72,Billy Ray Cyrus,Billy Ray Cyrus,Could’ve Been Me,Could've Been Me,3:41,Mercury 866 998,Billy Ray Cyrus--Could've Been Me (1992),%22Billy Ray Cyrus%22+%22Could've Been Me%22,%22Billy Ray Cyrus%22+%22Could%27ve Been Me%22,%22Billy Ray Cyrus%22+%22Could%27ve Been Me%22,,,%22Billy Ray Cyrus%22+%22Could%27ve Been Me%22,,,https://www.google.com/search?q=%22Billy Ray Cyrus%22+%22Could%27ve Been Me%22&ie=utf-8&oe=utf-8
10/10/92,1992,86,Nona Gaye,Nona Gaye,I’m Overjoyed,I'm Overjoyed,4:10,Third Stone 98486,Nona Gaye--I'm Overjoyed (1992),%22Nona Gaye%22+%22I'm Overjoyed%22,%22Nona Gaye%22+%22I%27m Overjoyed%22,%22Nona Gaye%22+%22I%27m Overjoyed%22,,,%22Nona Gaye%22+%22I%27m Overjoyed%22,,,https://www.google.com/search?q=%22Nona Gaye%22+%22I%27m Overjoyed%22&ie=utf-8&oe=utf-8
10/10/92,1992,94,Ce Ce Peniston,Ce Ce Peniston,Inside That I Cried,Inside That I Cried,4:40,A&M 0059,Ce Ce Peniston--Inside That I Cried (1992),%22Ce Ce Peniston%22+%22Inside That I Cried%22,%22Ce Ce Peniston%22+%22Inside That I Cried%22,%22Ce Ce Peniston%22+%22Inside That I Cried%22,,,%22Ce Ce Peniston%22+%22Inside That I Cried%22,,,https://www.google.com/search?q=%22Ce Ce Peniston%22+%22Inside That I Cried%22&ie=utf-8&oe=utf-8
10/17/92,1992,2,Shai,Shai,If I Ever Fall In Love,If I Ever Fall in Love,3:05,Gasoline Alley 54518,Shai--If I Ever Fall in Love (1992),%22Shai%22+%22If I Ever Fall in Love%22,%22Shai%22+%22If I Ever Fall in Love%22,%22Shai%22+%22If I Ever Fall in Love%22,,,%22Shai%22+%22If I Ever Fall in Love%22,,,https://www.google.com/search?q=%22Shai%22+%22If I Ever Fall in Love%22&ie=utf-8&oe=utf-8
10/17/92,1992,3,Madonna,Madonna,Erotica,Erotica,5:10,Maverick/Sire 18782,Madonna--Erotica (1992),%22Madonna%22+%22Erotica%22,%22Madonna%22+%22Erotica%22,%22Madonna%22+%22Erotica%22,,,%22Madonna%22+%22Erotica%22,,,https://www.google.com/search?q=%22Madonna%22+%22Erotica%22&ie=utf-8&oe=utf-8
10/17/92,1992,7,Bobby Brown,Bobby Brown,Good Enough,Good Enough,3:52,MCA 54517,Bobby Brown--Good Enough (1992),%22Bobby Brown%22+%22Good Enough%22,%22Bobby Brown%22+%22Good Enough%22,%22Bobby Brown%22+%22Good Enough%22,,,%22Bobby Brown%22+%22Good Enough%22,,,https://www.google.com/search?q=%22Bobby Brown%22+%22Good Enough%22&ie=utf-8&oe=utf-8
10/17/92,1992,11,Michael Bolton,Michael Bolton,To Love Somebody,To Love Somebody,4:00,Columbia 74733,Michael Bolton--To Love Somebody (1992),%22Michael Bolton%22+%22To Love Somebody%22,%22Michael Bolton%22+%22To Love Somebody%22,%22Michael Bolton%22+%22To Love Somebody%22,,,%22Michael Bolton%22+%22To Love Somebody%22,,,https://www.google.com/search?q=%22Michael Bolton%22+%22To Love Somebody%22&ie=utf-8&oe=utf-8
10/17/92,1992,13,Mad Cobra,Mad Cobra,Flex,Flex,3:50,Columbia 74373,Mad Cobra--Flex (1992),%22Mad Cobra%22+%22Flex%22,%22Mad Cobra%22+%22Flex%22,%22Mad Cobra%22+%22Flex%22,,,%22Mad Cobra%22+%22Flex%22,,,https://www.google.com/search?q=%22Mad Cobra%22+%22Flex%22&ie=utf-8&oe=utf-8
10/17/92,1992,17,Spin Doctors,Spin Doctors,Little Miss Can’t Be Wrong,Little Miss Can't Be Wrong,3:50,Epic 74473,Spin Doctors--Little Miss Can't Be Wrong (1992),%22Spin Doctors%22+%22Little Miss Can't Be Wrong%22,%22Spin Doctors%22+%22Little Miss Can%27t Be Wrong%22,%22Spin Doctors%22+%22Little Miss Can%27t Be Wrong%22,,,%22Spin Doctors%22+%22Little Miss Can%27t Be Wrong%22,,,https://www.google.com/search?q=%22Spin Doctors%22+%22Little Miss Can%27t Be Wrong%22&ie=utf-8&oe=utf-8
10/17/92,1992,58,Roxette,Roxette,How Do You Do!,How Do You Do,3:07,EMI 50410,Roxette--How Do You Do (1992),%22Roxette%22+%22How Do You Do%22,%22Roxette%22+%22How Do You Do%22,%22Roxette%22+%22How Do You Do%22,,,%22Roxette%22+%22How Do You Do%22,,,https://www.google.com/search?q=%22Roxette%22+%22How Do You Do%22&ie=utf-8&oe=utf-8
10/17/92,1992,68,Grand Puba,Grand Puba,360 Degrees (What Goes Around),360 Degrees (What Goes Around),3:57,Elektra 64708,Grand Puba--360 Degrees (What Goes Around) (1992),%22Grand Puba%22+%22360 Degrees (What Goes Around)%22,%22Grand Puba%22+%22360 Degrees (What Goes Around)%22,%22Grand Puba%22+%22360 Degrees (What Goes Around)%22,,,%22Grand Puba%22+%22360 Degrees (What Goes Around)%22,33,50,https://www.google.com/search?q=%22Grand Puba%22+%22360 Degrees%22&ie=utf-8&oe=utf-8
10/17/92,1992,71,Megadeth,Megadeth,Symphony Of Destruction,Symphony of Destruction,4:00,Capitol 44886,Megadeth--Symphony of Destruction (1992),%22Megadeth%22+%22Symphony of Destruction%22,%22Megadeth%22+%22Symphony of Destruction%22,%22Megadeth%22+%22Symphony of Destruction%22,,,%22Megadeth%22+%22Symphony of Destruction%22,,,https://www.google.com/search?q=%22Megadeth%22+%22Symphony of Destruction%22&ie=utf-8&oe=utf-8
10/17/92,1992,71,MC Serch,MC Serch,Here It Comes,Here It Comes,3:27,Def Jam 74414,MC Serch--Here It Comes (1992),%22MC Serch%22+%22Here It Comes%22,%22MC Serch%22+%22Here It Comes%22,%22MC Serch%22+%22Here It Comes%22,,,%22MC Serch%22+%22Here It Comes%22,,,https://www.google.com/search?q=%22MC Serch%22+%22Here It Comes%22&ie=utf-8&oe=utf-8
10/17/92,1992,72,Tevin Campbell,Tevin Campbell,Alone With You,Alone With You,5:00,Qwest 18874,Tevin Campbell--Alone With You (1992),%22Tevin Campbell%22+%22Alone With You%22,%22Tevin Campbell%22+%22Alone With You%22,%22Tevin Campbell%22+%22Alone With You%22,,,%22Tevin Campbell%22+%22Alone With You%22,,,https://www.google.com/search?q=%22Tevin Campbell%22+%22Alone With You%22&ie=utf-8&oe=utf-8
10/17/92,1992,98,Joe Public,Joe Public,Do You Everynite,Do You Everynite,4:17,Columbia 74467,Joe Public--Do You Everynite (1992),%22Joe Public%22+%22Do You Everynite%22,%22Joe Public%22+%22Do You Everynite%22,%22Joe Public%22+%22Do You Everynite%22,,,%22Joe Public%22+%22Do You Everynite%22,,,https://www.google.com/search?q=%22Joe Public%22+%22Do You Everynite%22&ie=utf-8&oe=utf-8
10/24/92,1992,4,Shanice,Shanice,Saving Forever For You,Saving Forever for You,4:20,Giant 18719,Shanice--Saving Forever for You (1992),%22Shanice%22+%22Saving Forever for You%22,%22Shanice%22+%22Saving Forever for You%22,%22Shanice%22+%22Saving Forever for You%22,,,%22Shanice%22+%22Saving Forever for You%22,,,https://www.google.com/search?q=%22Shanice%22+%22Saving Forever for You%22&ie=utf-8&oe=utf-8
10/24/92,1992,29,Bon Jovi,Bon Jovi,Keep The Faith,Keep the Faith,5:38,Jambco 864432,Bon Jovi--Keep the Faith (1992),%22Bon Jovi%22+%22Keep the Faith%22,%22Bon Jovi%22+%22Keep the Faith%22,%22Bon Jovi%22+%22Keep the Faith%22,,,%22Bon Jovi%22+%22Keep the Faith%22,,,https://www.google.com/search?q=%22Bon Jovi%22+%22Keep the Faith%22&ie=utf-8&oe=utf-8
10/24/92,1992,33,Shabba Ranks Featuring Johnny Gill,Shabba Ranks,Slow And Sexy,Slow and Sexy,3:54,Epic 74741,Shabba Ranks--Slow and Sexy (1992),%22Shabba Ranks%22+%22Slow and Sexy%22,%22Shabba Ranks%22+%22Slow and Sexy%22,%22Shabba Ranks%22+%22Slow and Sexy%22,,,%22Shabba Ranks%22+%22Slow and Sexy%22,,,https://www.google.com/search?q=%22Shabba Ranks%22+%22Slow and Sexy%22&ie=utf-8&oe=utf-8
10/24/92,1992,44,Richard Marx,Richard Marx,Chains Around My Heart,Chains Around My Heart,5:06,Capitol 44848,Richard Marx--Chains Around My Heart (1992),%22Richard Marx%22+%22Chains Around My Heart%22,%22Richard Marx%22+%22Chains Around My Heart%22,%22Richard Marx%22+%22Chains Around My Heart%22,,,%22Richard Marx%22+%22Chains Around My Heart%22,,,https://www.google.com/search?q=%22Richard Marx%22+%22Chains Around My Heart%22&ie=utf-8&oe=utf-8
10/24/92,1992,83,Wynonna,Wynonna,No One Else On Earth,No One Else on Earth,4:07,Curb 54449,Wynonna--No One Else on Earth (1992),%22Wynonna%22+%22No One Else on Earth%22,%22Wynonna%22+%22No One Else on Earth%22,%22Wynonna%22+%22No One Else on Earth%22,,,%22Wynonna%22+%22No One Else on Earth%22,,,https://www.google.com/search?q=%22Wynonna%22+%22No One Else on Earth%22&ie=utf-8&oe=utf-8
10/24/92,1992,96,Extreme,Extreme,Rest In Peace,Rest in Peace,4:50,A&M 0055,Extreme--Rest in Peace (1992),%22Extreme%22+%22Rest in Peace%22,%22Extreme%22+%22Rest in Peace%22,%22Extreme%22+%22Rest in Peace%22,,,%22Extreme%22+%22Rest in Peace%22,,,https://www.google.com/search?q=%22Extreme%22+%22Rest in Peace%22&ie=utf-8&oe=utf-8
10/31/92,1992,23,Elton John,Elton John,The Last Song,The Last Song,3:14,MCA 54510,Elton John--The Last Song (1992),%22Elton John%22+%22The Last Song%22,%22Elton John%22+%22The Last Song%22,%22Elton John%22+%22The Last Song%22,,,%22Elton John%22+%22The Last Song%22,,,https://www.google.com/search?q=%22Elton John%22+%22The Last Song%22&ie=utf-8&oe=utf-8
10/31/92,1992,28,R.E.M.,R.E.M.,Drive,Drive,4:20,Warner Bros. 18729,R.E.M.--Drive (1992),%22R.E.M.%22+%22Drive%22,%22R.E.M.%22+%22Drive%22,%22R.E.M.%22+%22Drive%22,,,%22R.E.M.%22+%22Drive%22,,,https://www.google.com/search?q=%22R.E.M.%22+%22Drive%22&ie=utf-8&oe=utf-8
10/31/92,1992,28,Exposé,Expose,I Wish The Phone Would Ring,I Wish the Phone Would Ring,4:03,Arista 1-2466,Expose--I Wish the Phone Would Ring (1992),%22Expose%22+%22I Wish the Phone Would Ring%22,%22Expose%22+%22I Wish the Phone Would Ring%22,%22Expose%22+%22I Wish the Phone Would Ring%22,,,%22Expose%22+%22I Wish the Phone Would Ring%22,,,https://www.google.com/search?q=%22Expose%22+%22I Wish the Phone Would Ring%22&ie=utf-8&oe=utf-8
10/31/92,1992,54,"Rembrandts, The",Rembrandts,Johnny Have You Seen Her?,Johnny Have You Seen Her,4:06,Atco 4-98504,Rembrandts--Johnny Have You Seen Her (1992),%22Rembrandts%22+%22Johnny Have You Seen Her%22,%22Rembrandts%22+%22Johnny Have You Seen Her%22,%22Rembrandts%22+%22Johnny Have You Seen Her%22,,,%22Rembrandts%22+%22Johnny Have You Seen Her%22,,,https://www.google.com/search?q=%22Rembrandts%22+%22Johnny Have You Seen Her%22&ie=utf-8&oe=utf-8
10/31/92,1992,63,Maxi Priest,Maxi Priest,Groovin’ In The Midnight,Groovin' in the Midnight,4:02,Virgin 12617,Maxi Priest--Groovin' in the Midnight (1992),%22Maxi Priest%22+%22Groovin' in the Midnight%22,%22Maxi Priest%22+%22Groovin%27 in the Midnight%22,%22Maxi Priest%22+%22Groovin%27 in the Midnight%22,,,%22Maxi Priest%22+%22Groovin%27 in the Midnight%22,,,https://www.google.com/search?q=%22Maxi Priest%22+%22Groovin%27 in the Midnight%22&ie=utf-8&oe=utf-8
10/31/92,1992,81,Gloria Estefan,Gloria Estefan & Miami Sound Machine,Always Tomorrow,Always Tomorrow,4:50,Epic 74472,Gloria Estefan & Miami Sound Machine--Always Tomorrow (1992),%22Gloria Estefan & Miami Sound Machine%22+%22Always Tomorrow%22,%22Gloria Estefan & Miami Sound Machine%22+%22Always Tomorrow%22,%22Gloria Estefan & Miami Sound Machine%22+%22Always Tomorrow%22,19,40,%22Gloria Estefan%22+%22Always Tomorrow%22,,,https://www.google.com/search?q=%22Gloria Estefan%22+%22Always Tomorrow%22&ie=utf-8&oe=utf-8
10/31/92,1992,85,Jodeci,Jodeci,I’m Still Waiting,I'm Still Waiting,4:18,MCA 54451,Jodeci--I'm Still Waiting (1992),%22Jodeci%22+%22I'm Still Waiting%22,%22Jodeci%22+%22I%27m Still Waiting%22,%22Jodeci%22+%22I%27m Still Waiting%22,,,%22Jodeci%22+%22I%27m Still Waiting%22,,,https://www.google.com/search?q=%22Jodeci%22+%22I%27m Still Waiting%22&ie=utf-8&oe=utf-8
10/31/92,1992,98,Metallica,Metallica,Sad But True,Sad But True,5:18,Elektra 4-64696,Metallica--Sad But True (1992),%22Metallica%22+%22Sad But True%22,%22Metallica%22+%22Sad But True%22,%22Metallica%22+%22Sad But True%22,,,%22Metallica%22+%22Sad But True%22,,,https://www.google.com/search?q=%22Metallica%22+%22Sad But True%22&ie=utf-8&oe=utf-8
11/07/92,1992,14,Go West,Go West,Faithful,Faithful,4:22,EMI 50411,Go West--Faithful (1992),%22Go West%22+%22Faithful%22,%22Go West%22+%22Faithful%22,%22Go West%22+%22Faithful%22,,,%22Go West%22+%22Faithful%22,,,https://www.google.com/search?q=%22Go West%22+%22Faithful%22&ie=utf-8&oe=utf-8
11/07/92,1992,21,Genesis,Genesis,Never A Time,Never a Time,3:45,Atlantic 87411,Genesis--Never a Time (1992),%22Genesis%22+%22Never a Time%22,%22Genesis%22+%22Never a Time%22,%22Genesis%22+%22Never a Time%22,,,%22Genesis%22+%22Never a Time%22,,,https://www.google.com/search?q=%22Genesis%22+%22Never a Time%22&ie=utf-8&oe=utf-8
11/07/92,1992,28,Sade,Sade,No Ordinary Love,No Ordinary Love,5:22,Epic 74734,Sade--No Ordinary Love (1992),%22Sade%22+%22No Ordinary Love%22,%22Sade%22+%22No Ordinary Love%22,%22Sade%22+%22No Ordinary Love%22,,,%22Sade%22+%22No Ordinary Love%22,,,https://www.google.com/search?q=%22Sade%22+%22No Ordinary Love%22&ie=utf-8&oe=utf-8
11/07/92,1992,35,U2,U2,Who’s Gonna Ride Your Wild Horses,Who's Gonna Ride Your Wild Horses,3:56,Island 864521,U2--Who's Gonna Ride Your Wild Horses (1992),%22U2%22+%22Who's Gonna Ride Your Wild Horses%22,%22U2%22+%22Who%27s Gonna Ride Your Wild Horses%22,%22U2%22+%22Who%27s Gonna Ride Your Wild Horses%22,,,%22U2%22+%22Who%27s Gonna Ride Your Wild Horses%22,,,https://www.google.com/search?q=%22U2%22+%22Who%27s Gonna Ride Your Wild Horses%22&ie=utf-8&oe=utf-8
11/07/92,1992,55,After 7,After 7,‘Baby I’m For Real/Natural High’,Baby I'm for Real - Natural High,4:58,Virgin 12623,After 7--Baby I'm for Real - Natural High (1992),%22After 7%22+%22Baby I'm for Real - Natural High%22,%22After 7%22+%22Baby I%27m for Real - Natural High%22,%22After 7%22+%22Baby I%27m for Real - Natural High%22,,,%22After 7%22+%22Baby I%27m for Real - Natural High%22,,,https://www.google.com/search?q=%22After 7%22+%22Baby I%27m for Real - Natural High%22&ie=utf-8&oe=utf-8
11/07/92,1992,89,Around The Way,Around the Way,Really Into You,Really Into You,4:00,Atlantic 87427,Around the Way--Really Into You (1992),%22Around the Way%22+%22Really Into You%22,%22Around the Way%22+%22Really Into You%22,%22Around the Way%22+%22Really Into You%22,,,%22Around the Way%22+%22Really Into You%22,,,https://www.google.com/search?q=%22Around the Way%22+%22Really Into You%22&ie=utf-8&oe=utf-8
11/14/92,1992,1,Whitney Houston,Whitney Houston,I Will Always Love You,I Will Always Love You,4:32,Arista 12490,Whitney Houston--I Will Always Love You (1992),%22Whitney Houston%22+%22I Will Always Love You%22,%22Whitney Houston%22+%22I Will Always Love You%22,%22Whitney Houston%22+%22I Will Always Love You%22,,,%22Whitney Houston%22+%22I Will Always Love You%22,,,https://www.google.com/search?q=%22Whitney Houston%22+%22I Will Always Love You%22&ie=utf-8&oe=utf-8
11/14/92,1992,11,Portrait,Portrait,Here We Go Again,Here We Go Again,3:54,Capitol 44865,Portrait--Here We Go Again (1992),%22Portrait%22+%22Here We Go Again%22,%22Portrait%22+%22Here We Go Again%22,%22Portrait%22+%22Here We Go Again%22,,,%22Portrait%22+%22Here We Go Again%22,,,https://www.google.com/search?q=%22Portrait%22+%22Here We Go Again%22&ie=utf-8&oe=utf-8
11/14/92,1992,11,Restless Heart,Restless Heart,When She Cries,When She Cries,3:32,RCA 62412,Restless Heart--When She Cries (1992),%22Restless Heart%22+%22When She Cries%22,%22Restless Heart%22+%22When She Cries%22,%22Restless Heart%22+%22When She Cries%22,,,%22Restless Heart%22+%22When She Cries%22,,,https://www.google.com/search?q=%22Restless Heart%22+%22When She Cries%22&ie=utf-8&oe=utf-8
11/14/92,1992,18,Toad The Wet Sprocket,Toad The Wet Sprocket,Walk On The Ocean,Walk on the Ocean,3:34,Columbia 74706,Toad The Wet Sprocket--Walk on the Ocean (1992),%22Toad The Wet Sprocket%22+%22Walk on the Ocean%22,%22Toad The Wet Sprocket%22+%22Walk on the Ocean%22,%22Toad The Wet Sprocket%22+%22Walk on the Ocean%22,,,%22Toad The Wet Sprocket%22+%22Walk on the Ocean%22,,,https://www.google.com/search?q=%22Toad The Wet Sprocket%22+%22Walk on the Ocean%22&ie=utf-8&oe=utf-8
11/14/92,1992,21,Bell Biv DeVoe,Bell Biv DeVoe,Gangsta,Gangsta,4:31,MCA 54555,Bell Biv DeVoe--Gangsta (1992),%22Bell Biv DeVoe%22+%22Gangsta%22,%22Bell Biv DeVoe%22+%22Gangsta%22,%22Bell Biv DeVoe%22+%22Gangsta%22,,,%22Bell Biv DeVoe%22+%22Gangsta%22,,,https://www.google.com/search?q=%22Bell Biv DeVoe%22+%22Gangsta%22&ie=utf-8&oe=utf-8
11/14/92,1992,27,Lo-Key?,Lo-Key?,I Got A Thang 4 Ya!,I Got a Thang 4 Ya,4:17,Perspective 0008,Lo-Key?--I Got a Thang 4 Ya (1992),%22Lo-Key?%22+%22I Got a Thang 4 Ya%22,%22Lo-Key?%22+%22I Got a Thang 4 Ya%22,%22Lo-Key?%22+%22I Got a Thang 4 Ya%22,,,%22Lo-Key?%22+%22I Got a Thang 4 Ya%22,,,https://www.google.com/search?q=%22Lo-Key?%22+%22I Got a Thang 4 Ya%22&ie=utf-8&oe=utf-8
11/14/92,1992,33,Toni Braxton,Toni Braxton,Love Shoulda Brought You Home,Love Shoulda Brought You Home,4:55,LaFace 24035,Toni Braxton--Love Shoulda Brought You Home (1992),%22Toni Braxton%22+%22Love Shoulda Brought You Home%22,%22Toni Braxton%22+%22Love Shoulda Brought You Home%22,%22Toni Braxton%22+%22Love Shoulda Brought You Home%22,,,%22Toni Braxton%22+%22Love Shoulda Brought You Home%22,,,https://www.google.com/search?q=%22Toni Braxton%22+%22Love Shoulda Brought You Home%22&ie=utf-8&oe=utf-8
11/14/92,1992,68,Classic Example,Classic Example,It’s Alright,It's Alright,4:05,Hollywood Basic 64690,Classic Example--It's Alright (1992),%22Classic Example%22+%22It's Alright%22,%22Classic Example%22+%22It%27s Alright%22,%22Classic Example%22+%22It%27s Alright%22,,,%22Classic Example%22+%22It%27s Alright%22,,,https://www.google.com/search?q=%22Classic Example%22+%22It%27s Alright%22&ie=utf-8&oe=utf-8
11/14/92,1992,88,Tom Cochrane,Tom Cochrane,Washed Away,Washed Away,5:18,Capitol 44879,Tom Cochrane--Washed Away (1992),%22Tom Cochrane%22+%22Washed Away%22,%22Tom Cochrane%22+%22Washed Away%22,%22Tom Cochrane%22+%22Washed Away%22,,,%22Tom Cochrane%22+%22Washed Away%22,,,https://www.google.com/search?q=%22Tom Cochrane%22+%22Washed Away%22&ie=utf-8&oe=utf-8
11/21/92,1992,36,Celine Dion,Celine Dion,Love Can Move Mountains,Love Can Move Mountains,4:04,Epic 74337,Celine Dion--Love Can Move Mountains (1992),%22Celine Dion%22+%22Love Can Move Mountains%22,%22Celine Dion%22+%22Love Can Move Mountains%22,%22Celine Dion%22+%22Love Can Move Mountains%22,,,%22Celine Dion%22+%22Love Can Move Mountains%22,,,https://www.google.com/search?q=%22Celine Dion%22+%22Love Can Move Mountains%22&ie=utf-8&oe=utf-8
11/21/92,1992,55,Ice Cube,Ice Cube,Wicked,Wicked,3:56,Priority 53813,Ice Cube--Wicked (1992),%22Ice Cube%22+%22Wicked%22,%22Ice Cube%22+%22Wicked%22,%22Ice Cube%22+%22Wicked%22,,,%22Ice Cube%22+%22Wicked%22,,,https://www.google.com/search?q=%22Ice Cube%22+%22Wicked%22&ie=utf-8&oe=utf-8
11/21/92,1992,68,Chuckii Booker,Chuckii Booker,Games,Games,4:18,Atlantic 87448,Chuckii Booker--Games (1992),%22Chuckii Booker%22+%22Games%22,%22Chuckii Booker%22+%22Games%22,%22Chuckii Booker%22+%22Games%22,,,%22Chuckii Booker%22+%22Games%22,,,https://www.google.com/search?q=%22Chuckii Booker%22+%22Games%22&ie=utf-8&oe=utf-8
11/21/92,1992,72,Guns N’ Roses,Guns N' Roses,Yesterdays,Yesterdays,3:12,Geffen 19142,Guns N' Roses--Yesterdays (1992),%22Guns N' Roses%22+%22Yesterdays%22,%22Guns N%27 Roses%22+%22Yesterdays%22,%22Guns N%27 Roses%22+%22Yesterdays%22,,,%22Guns N%27 Roses%22+%22Yesterdays%22,,,https://www.google.com/search?q=%22Guns N%27 Roses%22+%22Yesterdays%22&ie=utf-8&oe=utf-8
11/21/92,1992,84,Miki Howard,Miki Howard,Ain’t Nobody Like You,Ain't Nobody Like You,4:51,Giant 18849,Miki Howard--Ain't Nobody Like You (1992),%22Miki Howard%22+%22Ain't Nobody Like You%22,%22Miki Howard%22+%22Ain%27t Nobody Like You%22,%22Miki Howard%22+%22Ain%27t Nobody Like You%22,,,%22Miki Howard%22+%22Ain%27t Nobody Like You%22,,,https://www.google.com/search?q=%22Miki Howard%22+%22Ain%27t Nobody Like You%22&ie=utf-8&oe=utf-8
11/21/92,1992,98,Utah Saints,Utah Saints,Something Good,Something Good,3:32,London 869842,Utah Saints--Something Good (1992),%22Utah Saints%22+%22Something Good%22,%22Utah Saints%22+%22Something Good%22,%22Utah Saints%22+%22Something Good%22,,,%22Utah Saints%22+%22Something Good%22,,,https://www.google.com/search?q=%22Utah Saints%22+%22Something Good%22&ie=utf-8&oe=utf-8
11/28/92,1992,3,Boyz II Men,Boyz II Men,In The Still Of The Nite (I’ll Remember),In the Still of the Nite (I'll Remember),2:46,Motown 2193,Boyz II Men--In the Still of the Nite (I'll Remember) (1992),%22Boyz II Men%22+%22In the Still of the Nite (I'll Remember)%22,%22Boyz II Men%22+%22In the Still of the Nite (I%27ll Remember)%22,%22Boyz II Men%22+%22In the Still of the Nite (I%27ll Remember)%22,,,%22Boyz II Men%22+%22In the Still of the Nite (I%27ll Remember)%22,47,63,https://www.google.com/search?q=%22Boyz II Men%22+%22In the Still of the Nite%22&ie=utf-8&oe=utf-8
11/28/92,1992,7,Prince & The New Power Generation,Prince & The New Power Generation,7,7,5:04,Paisley Park 18824,Prince & The New Power Generation--7 (1992),%22Prince & The New Power Generation%22+%227%22,%22Prince & The New Power Generation%22+%227%22,%22Prince & The New Power Generation%22+%227%22,11,37,%22Prince%22+%227%22,,,https://www.google.com/search?q=%22Prince%22+%227%22&ie=utf-8&oe=utf-8
11/28/92,1992,34,"S.O.U.L. S.Y.S.T.E.M., The",S.O.U.L. S.Y.S.T.E.M.,It’s Gonna Be A Lovely Day,It's Gonna Be a Lovely Day,4:30,Arista 1-2486,S.O.U.L. S.Y.S.T.E.M.--It's Gonna Be a Lovely Day (1992),%22S.O.U.L. S.Y.S.T.E.M.%22+%22It's Gonna Be a Lovely Day%22,%22S.O.U.L. S.Y.S.T.E.M.%22+%22It%27s Gonna Be a Lovely Day%22,%22S.O.U.L. S.Y.S.T.E.M.%22+%22It%27s Gonna Be a Lovely Day%22,,,%22S.O.U.L. S.Y.S.T.E.M.%22+%22It%27s Gonna Be a Lovely Day%22,,,https://www.google.com/search?q=%22S.O.U.L. S.Y.S.T.E.M.%22+%22It%27s Gonna Be a Lovely Day%22&ie=utf-8&oe=utf-8
11/28/92,1992,55,Shakespear’s Sister,Shakespear's Sister,I Don’t Care,I Don't Care,3:52,London-Sire 869 946,Shakespear's Sister--I Don't Care (1992),%22Shakespear's Sister%22+%22I Don't Care%22,%22Shakespear%27s Sister%22+%22I Don%27t Care%22,%22Shakespear%27s Sister%22+%22I Don%27t Care%22,,,%22Shakespear%27s Sister%22+%22I Don%27t Care%22,,,https://www.google.com/search?q=%22Shakespear%27s Sister%22+%22I Don%27t Care%22&ie=utf-8&oe=utf-8
11/28/92,1992,66,"10,000 Maniacs","10,000 Maniacs",These Are Days,These Are Days,3:35,Elektra 64700,"10,000 Maniacs--These Are Days (1992)","%2210,000 Maniacs%22+%22These Are Days%22","%2210,000 Maniacs%22+%22These Are Days%22",%2210%2C000 Maniacs%22+%22These Are Days%22,,,%2210%2C000 Maniacs%22+%22These Are Days%22,,,https://www.google.com/search?q=%2210%2C000 Maniacs%22+%22These Are Days%22&ie=utf-8&oe=utf-8
12/05/92,1992,7,Madonna,Madonna,Deeper And Deeper,Deeper and Deeper,4:50,Maverick/Sire 18639,Madonna--Deeper and Deeper (1992),%22Madonna%22+%22Deeper and Deeper%22,%22Madonna%22+%22Deeper and Deeper%22,%22Madonna%22+%22Deeper and Deeper%22,,,%22Madonna%22+%22Deeper and Deeper%22,,,https://www.google.com/search?q=%22Madonna%22+%22Deeper and Deeper%22&ie=utf-8&oe=utf-8
12/05/92,1992,15,En Vogue,En Vogue,"Give It Up, Turn It Loose","Give It Up, Turn It Loose",4:00,EastWest 98455,"En Vogue--Give It Up, Turn It Loose (1992)","%22En Vogue%22+%22Give It Up, Turn It Loose%22","%22En Vogue%22+%22Give It Up, Turn It Loose%22",%22En Vogue%22+%22Give It Up%2C Turn It Loose%22,,,%22En Vogue%22+%22Give It Up%2C Turn It Loose%22,,,https://www.google.com/search?q=%22En Vogue%22+%22Give It Up%2C Turn It Loose%22&ie=utf-8&oe=utf-8
